Timestamp,Temperature,Humidity,Direction,Speed,Rainfall,Pressure,PM 2.5
"1/2/2023, 15:33:42",40,26,0,3.22,0,998.4,53
"1/2/2023, 15:33:45",40,26,0,3.22,0,998.4,53
"1/2/2023, 15:33:49",40,26,45,3.22,0,998.4,59
"1/2/2023, 15:33:52",40,26,90,3.22,0,998.4,60
"1/2/2023, 15:33:55",40,26,0,3.22,0,998.4,59
"1/2/2023, 15:33:58",40,26,0,3.22,0,998.4,59
"1/2/2023, 15:34:01",40,26,0,3.22,0,998.4,59
"1/2/2023, 15:34:04",40,26,0,3.22,0,998.4,58
"1/2/2023, 15:34:07",40,26,0,3.22,0,998.4,58
"1/2/2023, 15:34:10",40,26,0,3.22,0,998.4,58
"1/2/2023, 15:34:13",40,26,0,3.22,0,998.4,60
"1/2/2023, 15:34:16",40,26,0,3.22,0,998.5,60
"1/2/2023, 15:34:19",40,26,0,3.22,0,998.4,60
"1/2/2023, 15:34:22",40,26,0,3.22,0,998.4,57
"1/2/2023, 15:34:25",40,26,0,3.22,0,998.4,56
"1/2/2023, 15:34:28",40,26,0,3.22,0,998.4,57
"1/2/2023, 15:34:31",40,26,0,3.22,0,998.4,55
"1/2/2023, 15:34:34",40,26,0,3.22,0,998.4,54
"1/2/2023, 15:34:37",40,26,0,3.22,0,998.4,56
"1/2/2023, 15:34:40",40,26,0,3.22,0,998.5,59
"1/2/2023, 15:34:43",40,26,0,3.22,0,998.5,59
"1/2/2023, 15:34:46",40,26,90,3.22,0,998.5,58
"1/2/2023, 15:34:49",40,26,90,3.22,0,998.5,57
"1/2/2023, 15:34:52",40,26,0,3.22,0,998.5,56
"1/2/2023, 15:34:53",40,26,90,3.22,0,998.5,59
"1/2/2023, 15:34:56",40,26,90,3.22,0,998.4,55
"1/2/2023, 15:34:59",40,26,135,3.22,0,998.4,55
"1/2/2023, 15:35:02",40,25,135,3.22,0,998.5,54
"1/2/2023, 15:35:05",40,25,135,3.22,0,998.4,54
"1/2/2023, 15:35:08",40,25,135,3.22,0,998.4,54
"1/2/2023, 15:35:11",40,25,135,3.22,0,998.4,56
"1/2/2023, 15:35:14",40,25,135,3.22,0,998.4,56
"1/2/2023, 15:35:17",40,25,135,3.22,0,998.4,54
"1/2/2023, 15:35:24",40,25,270,3.22,0,998.4,54
"1/2/2023, 15:35:26",40,25,135,3.22,0,998.4,52
"1/2/2023, 15:35:29",40,25,135,3.22,0,998.4,53
"1/2/2023, 15:35:32",40,25,135,3.22,0,998.4,54
"1/2/2023, 15:35:35",40,25,135,3.22,0,998.4,54
"1/2/2023, 15:35:38",40.56,25,90,3.22,0,998.4,54
"1/2/2023, 15:35:41",40.56,25,45,3.22,0,998.4,53
"1/2/2023, 15:35:44",40,25,45,3.22,0,998.4,53
"1/2/2023, 15:35:47",40,25,45,3.22,0,998.4,52
"1/2/2023, 15:35:50",40,25,0,3.22,0,998.4,53
"1/2/2023, 15:35:53",40,25,0,3.22,0,998.4,53
"1/2/2023, 15:35:56",40,25,0,3.22,0,998.4,55
"1/2/2023, 15:35:57",40.56,25,0,3.22,0,998.4,59
"1/2/2023, 15:35:59",40.56,25,0,3.22,0,998.4,55
"1/2/2023, 15:36:00",40.56,25,0,3.22,0,998.4,59
"1/2/2023, 15:36:02",40.56,25,0,3.22,0,998.4,54
"1/2/2023, 15:36:06",40.56,25,0,3.22,0,998.4,55
"1/2/2023, 15:36:09",40.56,25,0,3.22,0,998.4,55
"1/2/2023, 15:36:12",40.56,25,0,3.22,0,998.4,54
"1/2/2023, 15:36:15",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:36:18",40.56,25,0,3.22,0,998.4,51
"1/2/2023, 15:36:21",40.56,25,45,3.22,0,998.4,51
"1/2/2023, 15:36:24",40.56,25,0,3.22,0,998.4,51
"1/2/2023, 15:36:27",40.56,25,0,3.22,0,998.4,51
"1/2/2023, 15:36:30",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:36:33",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:36:36",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:36:39",40.56,25,0,3.22,0,998.4,53
"1/2/2023, 15:36:42",40.56,25,0,3.22,0,998.4,54
"1/2/2023, 15:36:45",40.56,25,0,3.22,0,998.4,58
"1/2/2023, 15:36:48",40.56,25,0,3.22,0,998.4,57
"1/2/2023, 15:36:51",40.56,25,0,3.22,0,998.4,57
"1/2/2023, 15:36:54",40.56,25,0,3.22,0,998.4,53
"1/2/2023, 15:36:57",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:37:00",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:37:03",40.56,25,0,3.22,0,998.4,53
"1/2/2023, 15:37:06",40.56,25,0,3.22,0,998.4,53
"1/2/2023, 15:37:09",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:37:12",40.56,25,0,3.22,0,998.4,51
"1/2/2023, 15:37:15",40.56,25,0,3.22,0,998.4,53
"1/2/2023, 15:37:18",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:37:21",40.56,25,0,3.22,0,998.4,53
"1/2/2023, 15:37:24",40.56,25,0,3.22,0,998.4,53
"1/2/2023, 15:37:27",40.56,25,0,3.22,0,998.4,53
"1/2/2023, 15:37:28",40.56,26,0,3.22,0,998.4,59
"1/2/2023, 15:37:30",40.56,26,0,3.22,0,998.4,52
"1/2/2023, 15:37:33",40.56,26,0,3.22,0,998.4,56
"1/2/2023, 15:37:34",40.56,26,0,3.22,0,998.4,59
"1/2/2023, 15:37:36",40.56,26,0,3.22,0,998.4,55
"1/2/2023, 15:37:40",40.56,26,0,3.22,0,998.4,54
"1/2/2023, 15:37:43",40.56,26,45,3.22,0,998.4,55
"1/2/2023, 15:37:46",40.56,26,90,3.22,0,998.4,54
"1/2/2023, 15:37:49",40.56,26,90,3.22,0,998.4,55
"1/2/2023, 15:37:52",40.56,26,90,3.22,0,998.4,53
"1/2/2023, 15:37:55",40.56,26,90,3.22,0,998.4,54
"1/2/2023, 15:37:58",40.56,25,0,3.22,0,998.4,54
"1/2/2023, 15:38:01",40.56,25,135,3.22,0,998.4,54
"1/2/2023, 15:38:04",40.56,25,90,3.22,0,998.4,53
"1/2/2023, 15:38:07",40.56,25,90,3.22,0,998.4,54
"1/2/2023, 15:38:10",40.56,25,45,3.22,0,998.4,55
"1/2/2023, 15:38:13",40.56,25,135,3.22,0,998.4,56
"1/2/2023, 15:38:16",40.56,25,0,3.22,0,998.4,55
"1/2/2023, 15:38:19",40.56,25,0,3.22,0,998.4,54
"1/2/2023, 15:38:22",40.56,25,0,3.22,0,998.4,55
"1/2/2023, 15:38:25",40.56,25,0,3.22,0,998.4,57
"1/2/2023, 15:38:28",40.56,25,45,3.22,0,998.4,58
"1/2/2023, 15:38:31",40.56,25,90,3.22,0,998.4,58
"1/2/2023, 15:38:34",40.56,25,90,3.22,0,998.4,57
"1/2/2023, 15:38:37",40.56,25,90,3.22,0,998.4,55
"1/2/2023, 15:38:40",40.56,25,0,3.22,0,998.4,54
"1/2/2023, 15:38:41",40.56,25,135,3.22,0,998.4,59
"1/2/2023, 15:38:44",40.56,25,0,3.22,0,998.4,54
"1/2/2023, 15:38:47",40.56,25,225,3.22,0,998.4,53
"1/2/2023, 15:38:50",40.56,25,225,3.22,0,998.4,53
"1/2/2023, 15:38:53",40.56,25,225,3.22,0,998.4,52
"1/2/2023, 15:38:56",40.56,25,225,3.22,0,998.4,52
"1/2/2023, 15:38:59",40.56,25,225,3.22,0,998.4,53
"1/2/2023, 15:39:02",40.56,25,45,3.22,0,998.4,57
"1/2/2023, 15:39:05",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:39:08",40.56,25,0,3.22,0,998.4,52
"1/2/2023, 15:39:11",40.56,25,45,3.22,0,998.4,53
"1/2/2023, 15:39:14",40.56,25,90,3.22,0,998.4,54
"1/2/2023, 15:39:17",40.56,25,135,3.22,0,998.4,55
