Datetime,Value,Temperature,Humidity,Direction,Speed,Rainfall,Pressure,PM 2.5
1/2/2023,IQR,7.22,79,45,0,0,1004.5,42
2/2/2023,Mean,18.98626092,60.41227197,0,0,0.049756745,690.3461028,82.767249
2/2/2023,std,0.787429444,40.65256296,0,0,0.311789516,464.6321571,25.74818095
2/2/2023,Min,17.78,0,0,0,0,0,51
2/2/2023,Max,20,89,0,0,2.03,1004.6,175
2/2/2023,25%,18.33,0,0,0,0,0,62
2/2/2023,50%,18.89,87,0,0,0,1002.5,71
2/2/2023,75%,20,88,0,0,0,1003.2,102
2/2/2023,IQR,1.67,88,0,0,0,1003.2,40
3/2/2023,Mean,26.90015337,39.29879038,242.6874981,1.375149573,2.772583476,700.7688154,144.1381521
3/2/2023,std,8.968793303,32.28448039,78.73059495,17.6144475,13.26463302,462.3909825,134.4764327
3/2/2023,Min,17.78,0,0,0,0,0,45
3/2/2023,Max,43.33,88,315,506.94,80.01,1011.1,701
3/2/2023,25%,19.44,6,270,0,0,7.6,66
3/2/2023,50%,22.78,30,270,0,0,1005.6,83
3/2/2023,75%,36.11,73,270,1.61,0,1008.3,180
3/2/2023,IQR,16.67,67,0,1.61,0,1000.7,114
4/2/2023,Mean,26.0882413,45.20755456,240.5155226,1.554289732,0.873006159,731.93595,135.5335185
4/2/2023,std,8.430529566,32.94568645,85.75967343,17.18425054,6.380667414,448.5046545,133.2792753
4/2/2023,Min,17.78,0,0,0,0,0,43
4/2/2023,Max,41.11,87,315,506.94,80.01,1011.6,553
4/2/2023,25%,19.44,24,270,0,0,8.6,55
4/2/2023,50%,20.56,43,270,0,0,1007.9,66
4/2/2023,75%,35,82,270,1.61,0,1009.2,179
4/2/2023,IQR,15.56,58,0,1.61,0,1000.6,124
5/2/2023,Mean,20.04697048,68.3021476,224.8441893,0.630096056,0.954126513,768.1734244,187.6506833
5/2/2023,std,3.53036203,29.54465958,95.12723658,6.479232016,7.899292097,429.7945545,124.7490359
5/2/2023,Min,17.78,0,0,0,0,0,46
5/2/2023,Max,34.44,87,315,144.84,68.58,1011.3,463
5/2/2023,25%,17.78,76,270,0,0,1008.1,59
5/2/2023,50%,18.89,82,270,0,0,1008.7,181
5/2/2023,75%,20,84,270,0,0,1010.2,290
5/2/2023,IQR,2.22,8,0,0,0,2.1,231
6/2/2023,Mean,21.26877784,52.76939826,259.4508261,0.302715636,2.049190875,710.4154195,111.98567
6/2/2023,std,5.738158885,36.3489608,50.40969804,8.63511764,11.58493757,457.9499986,63.8381144
6/2/2023,Min,17.22,0,0,0,0,0,48
6/2/2023,Max,42.22,88,315,434.52,80.01,1011.1,453
6/2/2023,25%,18.89,1,270,0,0,6.7,93
6/2/2023,50%,19.44,79,270,0,0,1007.3,98
6/2/2023,75%,19.44,82,270,0,0,1007.7,103
6/2/2023,IQR,0.55,81,0,0,0,1001,10
7/2/2023,Mean,26.28386211,42.61694209,182.7860782,3.178488125,0.542739234,717.4120774,46.75727768
7/2/2023,std,8.481003374,32.18840615,95.91678781,15.14932261,3.665332945,452.2706773,6.359260732
7/2/2023,Min,13.89,0,0,0,0,0,30
7/2/2023,Max,40,86,315,144.84,68.58,1005.8,62
7/2/2023,25%,21.11,25,135,0,0,5.9,41
7/2/2023,50%,25,33,225,0,0,1001.9,49
